episode,step,epsilon,reward,loss
24850,2806303,0.1000,8.22,48.9180
24900,2818956,0.1000,8.54,66.0201
24950,2833292,0.1000,9.06,83.2680
25000,2846938,0.1000,8.84,84.4044
25050,2860402,0.1000,9.00,53.3637
25100,2873763,0.1000,9.26,54.0514
25150,2886883,0.1000,8.06,74.8377
25200,2899745,0.1000,8.54,88.0370
25250,2912862,0.1000,9.14,57.0938
25300,2926363,0.1000,9.06,87.2022
25350,2938256,0.1000,8.12,67.8124
25400,2950431,0.1000,7.68,85.8207
25450,2964025,0.1000,8.40,92.2364
25500,2977347,0.1000,7.70,107.3627
25550,2990842,0.1000,8.42,65.6545
25600,3004492,0.1000,9.16,73.1069
25650,3015396,0.1000,6.58,49.8489
25700,3029573,0.1000,8.92,52.5933
25750,3042018,0.1000,8.20,41.7601
25800,3055777,0.1000,8.52,40.3333
25850,3069671,0.1000,9.26,41.0766
25900,3082867,0.1000,8.74,53.8450
25950,3096811,0.1000,9.64,61.1168
26000,3110550,0.1000,9.38,34.7777
26050,3122439,0.1000,8.04,40.8607
26100,3137130,0.1000,9.50,55.9474
26150,3149179,0.1000,7.82,41.2098
26200,3162995,0.1000,9.60,61.6706
26250,3176896,0.1000,9.34,63.3767
26300,3191576,0.1000,10.02,62.8560
26350,3204930,0.1000,9.22,47.1451
26400,3217672,0.1000,8.72,43.2078
26450,3231917,0.1000,10.14,52.4258
26500,3244560,0.1000,7.92,39.4543
26550,3258873,0.1000,9.60,50.0541
26600,3271833,0.1000,9.70,46.5479
26650,3287699,0.1000,11.04,73.4930
26700,3300581,0.1000,10.12,48.6794
26750,3314978,0.1000,10.82,76.9488
26800,3327731,0.1000,8.16,60.0989
26850,3339142,0.1000,7.68,46.8844
26900,3351475,0.1000,7.54,54.2509
26950,3364033,0.1000,8.36,53.4230
27000,3377588,0.1000,9.60,62.4954
27050,3391931,0.1000,9.42,75.9890
27100,3406041,0.1000,9.10,50.1146
27150,3420335,0.1000,9.44,46.1183
27200,3433319,0.1000,9.10,49.2973
27250,3447725,0.1000,9.16,52.3942
27300,3461064,0.1000,8.58,47.1230
27350,3473685,0.1000,8.02,36.1444
27400,3487453,0.1000,8.72,28.6994
27450,3500265,0.1000,8.24,32.9411
27500,3514306,0.1000,10.26,35.3499
27550,3527380,0.1000,8.42,32.0061
27600,3539653,0.1000,7.78,20.6438
27650,3553680,0.1000,9.54,25.2590
27700,3566796,0.1000,8.12,21.3499
27750,3578514,0.1000,8.28,18.1636
27800,3593003,0.1000,9.82,22.1987
27850,3606344,0.1000,8.56,21.6746
27900,3620635,0.1000,9.96,24.2916
27950,3633185,0.1000,7.48,28.9213
28000,3644695,0.1000,7.54,25.1541
28050,3658493,0.1000,8.84,30.7837
28100,3671565,0.1000,8.12,19.2215
28150,3685419,0.1000,9.00,25.9009
28200,3697454,0.1000,7.82,22.1346
28250,3708787,0.1000,7.68,20.4727
28300,3723197,0.1000,10.32,25.5821
28350,3737701,0.1000,10.16,32.2423
28400,3749601,0.1000,8.38,28.1044
28450,3764567,0.1000,9.78,33.7246
28500,3777008,0.1000,8.10,30.0369
28550,3790795,0.1000,9.90,37.1215
28600,3805112,0.1000,9.92,40.5151
28650,3819572,0.1000,11.14,51.6670
28700,3832721,0.1000,9.34,51.6429
28750,3846762,0.1000,9.10,56.7024
28800,3860706,0.1000,10.04,48.8494
28850,3874579,0.1000,9.86,48.5979
28900,3888127,0.1000,10.12,42.5864
28950,3902659,0.1000,10.18,48.1943
29000,3917444,0.1000,11.26,44.7060
29050,3931179,0.1000,10.30,44.9282
29100,3946133,0.1000,10.08,46.6085
29150,3959428,0.1000,9.56,40.3012
29200,3972967,0.1000,9.40,42.4502
29250,3986334,0.1000,9.00,40.5946
29300,4000116,0.1000,9.40,36.3479
29350,4014056,0.1000,10.86,39.1624
29400,4028214,0.1000,9.94,29.7328
29450,4040369,0.1000,8.72,24.2816
29500,4053170,0.1000,9.10,24.1270
29550,4065926,0.1000,8.04,22.9421
29600,4080555,0.1000,10.00,25.3174
29650,4093591,0.1000,8.88,27.6574
29700,4107351,0.1000,9.38,25.9225
29750,4121476,0.1000,9.82,22.9168
29800,4134877,0.1000,10.68,22.8070
29850,4149495,0.1000,11.12,25.5580
29900,4164215,0.1000,10.40,27.5063
29950,4180144,0.1000,11.56,28.1758
30000,4195067,0.1000,11.02,25.3556
30050,4209374,0.1000,9.90,24.9542
30100,4222799,0.1000,9.72,22.3769
30150,4236874,0.1000,9.00,21.3718
30200,4250362,0.1000,9.16,19.1180
30250,4262887,0.1000,8.22,20.0518
30300,4275409,0.1000,8.38,18.7800
30350,4289811,0.1000,9.68,23.0187
30400,4302352,0.1000,7.90,18.7297
30450,4313902,0.1000,7.14,17.5550
30500,4326562,0.1000,8.58,18.2507
30550,4340122,0.1000,9.60,24.1474
30600,4352641,0.1000,8.98,23.1491
30650,4365523,0.1000,8.72,21.9575
30700,4380388,0.1000,9.62,26.0151
30750,4393906,0.1000,8.72,19.5814
30800,4407452,0.1000,9.30,19.3982
30850,4421138,0.1000,9.52,20.2111
30900,4434898,0.1000,9.72,18.5433
30950,4449216,0.1000,9.40,17.0015
31000,4461312,0.1000,7.24,13.3226
